attach_pages,attach_size_kb,industry_code,industry_name,info_code,publish_date,publisher,rating,report_type,title
25,2102,1259,养殖业,AP202607131826919975,2026-07-13,国信证券,增持,3,农林牧渔2026年7月投资策略：看好肉牛与原奶周期共振反转，超强厄尔尼诺概率进一步提升
17,2082,422,物流,AP202607131826919951,2026-07-13,华源证券,增持,3,交通运输行业周报：圆通发布AI应用，油运再受地缘扰动
12,667,1033,电池,AP202607131826919595,2026-07-13,中银证券,增持,3,电力设备与新能源行业7月第2周周报：国务院印发《“十五五”碳达峰行动方案》
40,1765,481,汽车零部件,AP202607131826918798,2026-07-13,华鑫证券,增持,3,汽车行业周报：特斯拉Optimus周产节奏明确，机器人最佳布局节点已至
13,1489,1033,电池,AP202607131826918441,2026-07-13,国金证券,买入,3,电力设备与新能源行业研究：储能锂电遭“莫须有”利空建议抄底，AIDC积极催化密集
30,1088,465,化学制药,AP202607131826918440,2026-07-13,华鑫证券,增持,3,医药行业周报：CXO反弹具有业绩支撑
13,1725,539,综合Ⅱ,AP202607131826917328,2026-07-13,开源证券,持有,3,综合行业周报：全球数控机床市场持续高景气，功率半导体中国厂商加速崛起
17,2186,1238,IT服务Ⅱ,AP202607131826917327,2026-07-13,开源证券,持有,3,海外科技行业周报：云计算需求持续验证，Opus 4.7级别模型价格带或面临松动
12,1260,451,房地产开发,AP202607131826917326,2026-07-13,开源证券,持有,3,房地产行业周报：单周成交保持增长，云南和晋江出台购房补贴政策
25,2400,482,一般零售,AP202607131826917325,2026-07-13,开源证券,持有,3,商贸零售行业周报：来伊份正式进军新鲜零食赛道，首店落地上海
18,2243,1046,游戏Ⅱ,AP202607131826917319,2026-07-13,开源证券,持有,3,传媒行业周报：聚焦产业趋势和边际变化，布局物理AI、大模型、游戏
18,2141,451,房地产开发,AP202607131826917281,2026-07-13,开源证券,持有,3,REITs行业周报：REITs指数环比下跌，仓储物流、环保板块本周涨幅较大
17,1733,1287,工业金属,AP202607131826917139,2026-07-13,国金证券,买入,3,有色金属行业小金属双周谈：看好稀土、钼涨价，重视锡去库加速
9,694,482,一般零售,AP202607131826917129,2026-07-13,东吴证券,增持,3,商贸零售行业跟踪周报：《旅游强国建设“十五五”规划》发布，重视消费政策对国企动力的推动
47,10695,475,银行Ⅱ,AP202607131826917062,2026-07-13,东海证券,,3,银行业2026年中期投资策略：红利为锚，弹性择优
45,3105,1033,电池,AP202607131826916924,2026-07-13,东吴证券,增持,3,电力设备行业跟踪周报：锂电储能高景气低估值、AIDC&人形空间大
29,1978,1250,煤炭开采,AP202607131826916643,2026-07-13,信达证券,持有,3,煤炭行业周报：煤价跌势收窄，日耗短期承压，静待旺季需求归来
29,4241,1274,炼化及贸易,AP202607131826916640,2026-07-13,信达证券,持有,3,石油加工行业原油周报：美伊战火重燃，油价震荡上涨
29,2598,481,汽车零部件,AP202607121826914159,2026-07-13,东吴证券,,3,汽车零部件&机器人&缺电主线周报：Optimus V3初步定型，Meta首建其加拿大数据中心
18,1241,1046,游戏Ⅱ,AP202607121826913895,2026-07-13,华源证券,增持,3,传媒互联网行业周报：WAIC 2026即将启幕，关注模型、物理AI和智能体进度
11,1278,428,电力,AP202607121826913837,2026-07-13,华源证券,增持,3,大能源行业2026年第27周周报：“十五五”碳达峰行动方案发布电新上半年业绩前瞻
23,1786,1040,中药Ⅱ,AP202607121826914049,2026-07-12,东吴证券,增持,3,医药生物行业跟踪周报：卫建委、医保局及药监局等多部门支持创新药商业化，重点推荐百济、信达等龙头
12,911,1243,其他家电Ⅱ,AP202607121826913864,2026-07-12,华源证券,增持,3,家电行业周报：面板供给格局改善，龙头有望拓展玻璃基板业务
12,1303,459,元件,AP202607121826913680,2026-07-12,国金证券,买入,3,耐用消费产业行业研究：高端电子布景气持续提升，织机紧缺关注国产替代机会
11,1037,910,专用设备,AP202607121826913678,2026-07-12,国金证券,买入,3,机器人行业研究：宇树机器人完成活体微创手术，1X发布新一代灵巧手
8,1368,1036,半导体,AP202607121826913622,2026-07-12,国金证券,买入,3,电子行业研究：先进制程晶圆代工涨价，关注台积电Q2法说会
18,2295,424,水泥,AP202607121826913627,2026-07-12,国金证券,买入,3,非金属建材周观点：玻璃基板产业进程加快，AI链下半年预期差放大
13,1129,1262,乘用车,AP202607121826913621,2026-07-12,国金证券,买入,3,汽车及汽车零部件行业周报：无人矿卡龙头易控智驾上市，工信部第409批新车申报
25,3567,422,物流,AP202607121826913560,2026-07-12,中银证券,增持,3,交通运输行业周报：暑运首周客座率逆势提升，旺季后移打开航司收益修复窗口
12,1355,1235,环境治理,AP202607121826913237,2026-07-12,信达证券,,3,ESG行业周报：国家能源局，推动绿证纳入碳排放核算体系
27,26617,465,化学制药,AP202607121826913227,2026-07-12,摩熵数科(成都)医药科技,,3,医药行业观察周报
23,1143,910,专用设备,AP202607121826913201,2026-07-12,武汉问渠汇知信息科技,,3,机器人电机行业深度分析报告：力量的心脏：人形机器人时代的核心驱动力
27,1580,481,汽车零部件,AP202607121826913200,2026-07-12,武汉问渠汇知信息科技,,3,汽车智能座舱行业分析报告
28,1317,1280,食品加工,AP202607121826913198,2026-07-12,武汉问渠汇知信息科技,,3,全球益生菌膳食补充剂市场深度分析报告2025—2033
24,758,1269,旅游零售Ⅱ,AP202607121826913197,2026-07-12,硕远咨询,,3,2026年中国旅游消费研究报告
2,407,459,元件,AP202607121826913169,2026-07-12,东吴证券,增持,3,端侧AI周跟踪：Meta算力投入与模型持续演进，WAIC将发布智能体手机
9,861,473,证券Ⅱ,AP202607121826912820,2026-07-12,华源证券,增持,3,非银金融行业周报：多家券商中期业绩预告实现高增，2026上半年头部险司银保渠道期交保费实现较快增长
29,3200,1250,煤炭开采,AP202607121826912789,2026-07-12,开源证券,持有,3,煤炭行业周报：煤价进一步下行空间有限，高温+供给收紧驱动反弹修复
17,3009,1287,工业金属,AP202607121826912762,2026-07-12,国金证券,买入,3,有色金属周报：铝去库加速，重视稀土涨价、锡加速去库
18,1130,422,物流,AP202607121826912761,2026-07-12,国金证券,买入,3,交通运输产业行业研究：暑运第二周客流改善，多家公司发布业绩预告
13,2063,1259,养殖业,AP202607121826912757,2026-07-12,国金证券,买入,3,农林牧渔行业周报：极端天气扰动生产，重视养殖板块投资机会
3,504,1036,半导体,AP202607121826912758,2026-07-12,开源证券,持有,3,电子行业周报：存储缺口、Capex能见度达2030年后，Meta Capex加速
7,520,1235,环境治理,AP202607121826912705,2026-07-12,华源证券,增持,3,环保行业周报：磁悬浮离心压缩机——数据中心液冷放量下的核心受益环节
8,1246,1046,游戏Ⅱ,AP202607121826912320,2026-07-12,国金证券,买入,3,互联网行业研究：腾讯Hy3正式发布，Meta拟投资100亿美元建数据中心
10,1353,1279,非白酒,AP202607121826912314,2026-07-12,开源证券,持有,3,食品饮料行业周报：零售新政催化渠道革新，板块磨底修复行情可期
3,473,473,证券Ⅱ,AP202607121826912313,2026-07-12,开源证券,持有,3,非银金融行业周报：非银行业中报有望高增，看好头部券商重估空间
19,2269,481,汽车零部件,AP202607121826912312,2026-07-12,开源证券,持有,3,汽车行业周报：数据中心行业高增推升液冷需求，核心部件泵空间广
9,1319,1243,其他家电Ⅱ,AP202607121826912236,2026-07-12,国金证券,买入,3,家电行业研究：7月TV面板价格小幅回落，库存和供需结构相对健康
14,2077,1226,普钢,AP202607121826912235,2026-07-12,国金证券,买入,3,黑色金属周报：铁水高位回落，钢材弱势企稳
15,1050,739,工程机械,AP202607121826912237,2026-07-12,国金证券,买入,3,机械行业研究：重视半导体设备机会，看好船舶、燃气轮机和农机
11,1382,737,软件开发,AP202607121826912234,2026-07-12,国金证券,买入,3,计算机行业研究：Token商业化加速
7,1428,459,元件,AP202607121826912231,2026-07-12,国金证券,,3,AI周观察：腾讯Hy3发布正式版，存储价格继续上升
13,2089,448,通信设备,AP202607121826912150,2026-07-12,国金证券,买入,3,通信行业研究：Meta算力投资升级，智谱及Deepseek探索自研AI芯片
2,283,1238,IT服务Ⅱ,AP202607121826912086,2026-07-12,华源证券,增持,3,计算机行业点评：华为昇腾超节点放量可期
19,1579,1272,旅游及景区,AP202607121826912062,2026-07-12,硕远咨询,,3,2026年中国旅游营销研究报告
22,1437,1272,旅游及景区,AP202607121826912059,2026-07-12,硕远咨询,,3,2026年中国旅游区域格局研究报告
26,1266,1272,旅游及景区,AP202607121826912058,2026-07-12,硕远咨询,,3,2026年银发旅游研究报告
31,965,1271,酒店餐饮,AP202607121826912056,2026-07-12,硕远咨询,,3,2026年中国连锁酒店研究报告
22,1106,1272,旅游及景区,AP202607121826912055,2026-07-12,硕远咨询,,3,2026年中国旅游行业趋势研究报告
26,1061,1271,酒店餐饮,AP202607121826912054,2026-07-12,硕远咨询,,3,2026年中国酒店行业研究报告
31,825,1272,旅游及景区,AP202607121826912052,2026-07-12,硕远咨询,,3,2026年中国旅游目的地研究报告
34,804,1271,酒店餐饮,AP202607121826912051,2026-07-12,硕远咨询,,3,2026年中国餐饮消费行为研究报告
26,3205,1274,炼化及贸易,AP202607121826911697,2026-07-12,信达证券,,3,石油加工行业大炼化周报：油价反弹推动下游补货，长丝库存有所去化
13,1062,1235,环境治理,AP202607121826911696,2026-07-12,信达证券,持有,3,环保行业周报：循环经济“十五五”规划发布，有望加快资源循环利用产业升级
13,1127,473,证券Ⅱ,AP202607121826911624,2026-07-12,东吴证券,增持,3,证券Ⅱ行业深度报告：三投联动打通产业链，科创投资方兴未艾
2,354,459,元件,AP202607121826911589,2026-07-12,上海证券,增持,3,电子行业周报：电子布涨价持续，上游设备供需紧张
4,457,1287,工业金属,AP202607121826911585,2026-07-12,太平洋,持有,3,有色金属：枧下窝锂矿有望逐步复产，碳酸锂供需有望逐步向好
15,887,473,证券Ⅱ,AP202607121826911576,2026-07-12,东吴证券,增持,3,非银金融行业跟踪周报：继续看好业绩驱动下的券商股
24,2927,1033,电池,AP202607121826911480,2026-07-12,国信证券,增持,3,电力设备新能源2026年7月投资策略：《新型能源体系建设“十五五”规划》印发，2030年初步建成新型能源体系
2,404,459,元件,AP202607121826911479,2026-07-12,东吴证券,增持,3,电子行业点评报告：国产算力周跟踪：CPU提价验证需求韧性，曙光十万卡集群加速国产算力升级
26,2213,1259,养殖业,AP202607121826911477,2026-07-12,国信证券,增持,3,农产品研究跟踪系列报告（212）：生猪政策调控稳步推进，看好肉牛与原奶周期共振反转
14,1824,1259,养殖业,AP202607121826911385,2026-07-12,开源证券,持有,3,农林牧渔行业周报：供给节奏收缩驱动猪价上行，二育回补与能繁去化同步演绎
3,462,1287,工业金属,AP202607121826911345,2026-07-12,国金证券,买入,3,有色金属行业研究：钛：商业航天再突破，对日管制或影响供给
23,4155,482,一般零售,AP202607121826910899,2026-07-12,国金证券,买入,3,耐用消费产业行业研究：致欧科技6月全面加速，小米汽车发布skynomad子品牌打开成长空间
17,2120,1274,炼化及贸易,AP202607121826910898,2026-07-12,国金证券,买入,3,石油化工行业研究：地缘反复，原油低位反弹
10,948,1279,非白酒,AP202607121826910894,2026-07-12,国金证券,买入,3,食品饮料行业研究：业绩窗口期，持续推荐可见度较高的α标的
12,2135,1238,IT服务Ⅱ,AP202607121826910893,2026-07-12,国金证券,买入,3,计算机行业研究：我国可回收火箭迎“0到1”拐点
17,2693,1040,中药Ⅱ,AP202607121826910892,2026-07-12,国金证券,买入,3,医药健康行业研究：新版基药目录推出，利好慢病创新药基层市场渗透
