case_id,code,severity,owner_skill,target_stage,field,message,requested_evidence
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.fx_tax_ownership_bridge,no qualifying reviewed record is mapped to driver fx_tax_ownership_bridge,Find or classify reviewed evidence for operating driver fx_tax_ownership_bridge
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.mine_production_volume,no qualifying reviewed record is mapped to driver mine_production_volume,Find or classify reviewed evidence for operating driver mine_production_volume
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.ore_grade_or_feed_quality,no qualifying reviewed record is mapped to driver ore_grade_or_feed_quality,Find or classify reviewed evidence for operating driver ore_grade_or_feed_quality
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.realized_gold_price,no qualifying reviewed record is mapped to driver realized_gold_price,Find or classify reviewed evidence for operating driver realized_gold_price
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.recovery_rate,no qualifying reviewed record is mapped to driver recovery_rate,Find or classify reviewed evidence for operating driver recovery_rate
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.stripping_ratio,no qualifying reviewed record is mapped to driver stripping_ratio,Find or classify reviewed evidence for operating driver stripping_ratio
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.sustaining_and_growth_capex,no qualifying reviewed record is mapped to driver sustaining_and_growth_capex,Find or classify reviewed evidence for operating driver sustaining_and_growth_capex
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.unit_cash_cost,no qualifying reviewed record is mapped to driver unit_cash_cost,Find or classify reviewed evidence for operating driver unit_cash_cost
golden_gold_mining_cycle,FORECAST_ARTIFACT_MISSING,blocker,valuation-model,T6_forecast_valuation_model,artifact_bindings.forecast_bridge,hash-bound artifact not supplied,
golden_gold_mining_cycle,OVERLAP_ARTIFACT_MISSING,blocker,stock-deep-dive,T5_analysis_pack_build,artifact_bindings.overlap_reconciliation,hash-bound artifact not supplied,
golden_gold_mining_cycle,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.GM-Q1,required question is not classified: GM-Q1,
golden_gold_mining_cycle,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.GM-Q2,required question is not classified: GM-Q2,
golden_gold_mining_cycle,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.GM-Q3,required question is not classified: GM-Q3,
golden_gold_mining_cycle,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.GM-Q4,required question is not classified: GM-Q4,
golden_gold_mining_cycle,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.GM-Q5,required question is not classified: GM-Q5,
golden_gold_mining_cycle,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.GM-Q6,required question is not classified: GM-Q6,
golden_gold_mining_cycle,SEMANTIC_ARTIFACT_MISSING,blocker,quality-review,T9_quality_review,artifact_bindings.semantic_candidate,hash-bound artifact not supplied,
golden_gold_mining_cycle,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: industry_regulator_or_association,Archive and review official evidence for source class industry_regulator_or_association
golden_gold_mining_cycle,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: issuer_exchange_filings,Archive and review official evidence for source class issuer_exchange_filings
golden_gold_mining_cycle,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: issuer_investor_relations_records,Archive and review official evidence for source class issuer_investor_relations_records
golden_gold_mining_cycle,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: market_data_primary_or_licensed,Archive and review official evidence for source class market_data_primary_or_licensed
golden_gold_mining_cycle,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: peer_official_disclosures,Archive and review official evidence for source class peer_official_disclosures
golden_gold_mining_cycle,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[0].review_status,source is not reviewed,
golden_gold_mining_cycle,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[1].review_status,source is not reviewed,
golden_gold_mining_cycle,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[2].review_status,source is not reviewed,
golden_gold_mining_cycle,VALUATION_ARTIFACT_MISSING,blocker,valuation-model,T6_forecast_valuation_model,artifact_bindings.valuation,hash-bound artifact not supplied,
golden_gold_mining_cycle,HUMAN_REVIEW_ARTIFACT_MISSING,info,quality-review,T9_quality_review,artifact_bindings.exact_hash_human_review,hash-bound artifact not supplied,
golden_multi_business_ai_infrastructure,DETERMINISM_ARTIFACT_MISSING,blocker,quality-review,T9_quality_review,artifact_bindings.determinism,hash-bound artifact not supplied,
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.idc_commissioned_capacity,no qualifying reviewed record is mapped to driver idc_commissioned_capacity,Find or classify reviewed evidence for operating driver idc_commissioned_capacity
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.idc_power_cost,no qualifying reviewed record is mapped to driver idc_power_cost,Find or classify reviewed evidence for operating driver idc_power_cost
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.idc_unit_revenue,no qualifying reviewed record is mapped to driver idc_unit_revenue,Find or classify reviewed evidence for operating driver idc_unit_revenue
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.idc_utilization,no qualifying reviewed record is mapped to driver idc_utilization,Find or classify reviewed evidence for operating driver idc_utilization
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.incremental_financing_cost,no qualifying reviewed record is mapped to driver incremental_financing_cost,Find or classify reviewed evidence for operating driver incremental_financing_cost
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.liquid_cooling_acceptance,no qualifying reviewed record is mapped to driver liquid_cooling_acceptance,Find or classify reviewed evidence for operating driver liquid_cooling_acceptance
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.liquid_cooling_margin,no qualifying reviewed record is mapped to driver liquid_cooling_margin,Find or classify reviewed evidence for operating driver liquid_cooling_margin
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.liquid_cooling_projects_or_mw,no qualifying reviewed record is mapped to driver liquid_cooling_projects_or_mw,Find or classify reviewed evidence for operating driver liquid_cooling_projects_or_mw
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.liquid_cooling_unit_value,no qualifying reviewed record is mapped to driver liquid_cooling_unit_value,Find or classify reviewed evidence for operating driver liquid_cooling_unit_value
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.materials_capacity,no qualifying reviewed record is mapped to driver materials_capacity,Find or classify reviewed evidence for operating driver materials_capacity
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.materials_product_mix_and_fee,no qualifying reviewed record is mapped to driver materials_product_mix_and_fee,Find or classify reviewed evidence for operating driver materials_product_mix_and_fee
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.materials_utilization,no qualifying reviewed record is mapped to driver materials_utilization,Find or classify reviewed evidence for operating driver materials_utilization
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.ownership_and_minority_interest,no qualifying reviewed record is mapped to driver ownership_and_minority_interest,Find or classify reviewed evidence for operating driver ownership_and_minority_interest
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.refrigerant_quota,no qualifying reviewed record is mapped to driver refrigerant_quota,Find or classify reviewed evidence for operating driver refrigerant_quota
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.refrigerant_realized_price,no qualifying reviewed record is mapped to driver refrigerant_realized_price,Find or classify reviewed evidence for operating driver refrigerant_realized_price
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.refrigerant_unit_cost,no qualifying reviewed record is mapped to driver refrigerant_unit_cost,Find or classify reviewed evidence for operating driver refrigerant_unit_cost
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.refrigerant_volume,no qualifying reviewed record is mapped to driver refrigerant_volume,Find or classify reviewed evidence for operating driver refrigerant_volume
golden_multi_business_ai_infrastructure,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.transaction_close_and_consolidation,no qualifying reviewed record is mapped to driver transaction_close_and_consolidation,Find or classify reviewed evidence for operating driver transaction_close_and_consolidation
golden_multi_business_ai_infrastructure,FORECAST_ARTIFACT_MISSING,blocker,valuation-model,T6_forecast_valuation_model,artifact_bindings.forecast_bridge,hash-bound artifact not supplied,
golden_multi_business_ai_infrastructure,OVERLAP_ARTIFACT_MISSING,blocker,stock-deep-dive,T5_analysis_pack_build,artifact_bindings.overlap_reconciliation,hash-bound artifact not supplied,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q1,required question is not classified: MB-Q1,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q2,required question is not classified: MB-Q2,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q3,required question is not classified: MB-Q3,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q4,required question is not classified: MB-Q4,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q5,required question is not classified: MB-Q5,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q6,required question is not classified: MB-Q6,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q7,required question is not classified: MB-Q7,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q8,required question is not classified: MB-Q8,
golden_multi_business_ai_infrastructure,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.MB-Q9,required question is not classified: MB-Q9,
golden_multi_business_ai_infrastructure,SEMANTIC_ARTIFACT_MISSING,blocker,quality-review,T9_quality_review,artifact_bindings.semantic_candidate,hash-bound artifact not supplied,
golden_multi_business_ai_infrastructure,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: industry_regulator_or_association,Archive and review official evidence for source class industry_regulator_or_association
golden_multi_business_ai_infrastructure,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: issuer_exchange_filings,Archive and review official evidence for source class issuer_exchange_filings
golden_multi_business_ai_infrastructure,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: issuer_investor_relations_records,Archive and review official evidence for source class issuer_investor_relations_records
golden_multi_business_ai_infrastructure,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: market_data_primary_or_licensed,Archive and review official evidence for source class market_data_primary_or_licensed
golden_multi_business_ai_infrastructure,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: peer_official_disclosures,Archive and review official evidence for source class peer_official_disclosures
golden_multi_business_ai_infrastructure,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[0].review_status,source is not reviewed,
golden_multi_business_ai_infrastructure,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[1].review_status,source is not reviewed,
golden_multi_business_ai_infrastructure,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[2].review_status,source is not reviewed,
golden_multi_business_ai_infrastructure,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[3].review_status,source is not reviewed,
golden_multi_business_ai_infrastructure,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[4].review_status,source is not reviewed,
golden_multi_business_ai_infrastructure,VALUATION_ARTIFACT_MISSING,blocker,valuation-model,T6_forecast_valuation_model,artifact_bindings.valuation,hash-bound artifact not supplied,
golden_multi_business_ai_infrastructure,HUMAN_REVIEW_ARTIFACT_MISSING,info,quality-review,T9_quality_review,artifact_bindings.exact_hash_human_review,hash-bound artifact not supplied,
