title,publisher,publish_date,info_code,industry_name,rating,report_type
农林牧渔2026年7月投资策略：看好肉牛与原奶周期共振反转，超强厄尔尼诺概率进一步提升,国信证券,2026-07-13,AP202607131826919975,养殖业,增持,3
交通运输行业周报：圆通发布AI应用，油运再受地缘扰动,华源证券,2026-07-13,AP202607131826919951,物流,增持,3
电力设备与新能源行业7月第2周周报：国务院印发《“十五五”碳达峰行动方案》,中银证券,2026-07-13,AP202607131826919595,电池,增持,3
汽车行业周报：特斯拉Optimus周产节奏明确，机器人最佳布局节点已至,华鑫证券,2026-07-13,AP202607131826918798,汽车零部件,增持,3
电力设备与新能源行业研究：储能锂电遭“莫须有”利空建议抄底，AIDC积极催化密集,国金证券,2026-07-13,AP202607131826918441,电池,买入,3
医药行业周报：CXO反弹具有业绩支撑,华鑫证券,2026-07-13,AP202607131826918440,化学制药,增持,3
综合行业周报：全球数控机床市场持续高景气，功率半导体中国厂商加速崛起,开源证券,2026-07-13,AP202607131826917328,综合Ⅱ,持有,3
海外科技行业周报：云计算需求持续验证，Opus 4.7级别模型价格带或面临松动,开源证券,2026-07-13,AP202607131826917327,IT服务Ⅱ,持有,3
房地产行业周报：单周成交保持增长，云南和晋江出台购房补贴政策,开源证券,2026-07-13,AP202607131826917326,房地产开发,持有,3
商贸零售行业周报：来伊份正式进军新鲜零食赛道，首店落地上海,开源证券,2026-07-13,AP202607131826917325,一般零售,持有,3
传媒行业周报：聚焦产业趋势和边际变化，布局物理AI、大模型、游戏,开源证券,2026-07-13,AP202607131826917319,游戏Ⅱ,持有,3
REITs行业周报：REITs指数环比下跌，仓储物流、环保板块本周涨幅较大,开源证券,2026-07-13,AP202607131826917281,房地产开发,持有,3
有色金属行业小金属双周谈：看好稀土、钼涨价，重视锡去库加速,国金证券,2026-07-13,AP202607131826917139,工业金属,买入,3
商贸零售行业跟踪周报：《旅游强国建设“十五五”规划》发布，重视消费政策对国企动力的推动,东吴证券,2026-07-13,AP202607131826917129,一般零售,增持,3
银行业2026年中期投资策略：红利为锚，弹性择优,东海证券,2026-07-13,AP202607131826917062,银行Ⅱ,,3
电力设备行业跟踪周报：锂电储能高景气低估值、AIDC&人形空间大,东吴证券,2026-07-13,AP202607131826916924,电池,增持,3
煤炭行业周报：煤价跌势收窄，日耗短期承压，静待旺季需求归来,信达证券,2026-07-13,AP202607131826916643,煤炭开采,持有,3
石油加工行业原油周报：美伊战火重燃，油价震荡上涨,信达证券,2026-07-13,AP202607131826916640,炼化及贸易,持有,3
汽车零部件&机器人&缺电主线周报：Optimus V3初步定型，Meta首建其加拿大数据中心,东吴证券,2026-07-13,AP202607121826914159,汽车零部件,,3
传媒互联网行业周报：WAIC 2026即将启幕，关注模型、物理AI和智能体进度,华源证券,2026-07-13,AP202607121826913895,游戏Ⅱ,增持,3
大能源行业2026年第27周周报：“十五五”碳达峰行动方案发布电新上半年业绩前瞻,华源证券,2026-07-13,AP202607121826913837,电力,增持,3
医药生物行业跟踪周报：卫建委、医保局及药监局等多部门支持创新药商业化，重点推荐百济、信达等龙头,东吴证券,2026-07-12,AP202607121826914049,中药Ⅱ,增持,3
家电行业周报：面板供给格局改善，龙头有望拓展玻璃基板业务,华源证券,2026-07-12,AP202607121826913864,其他家电Ⅱ,增持,3
耐用消费产业行业研究：高端电子布景气持续提升，织机紧缺关注国产替代机会,国金证券,2026-07-12,AP202607121826913680,元件,买入,3
机器人行业研究：宇树机器人完成活体微创手术，1X发布新一代灵巧手,国金证券,2026-07-12,AP202607121826913678,专用设备,买入,3
电子行业研究：先进制程晶圆代工涨价，关注台积电Q2法说会,国金证券,2026-07-12,AP202607121826913622,半导体,买入,3
非金属建材周观点：玻璃基板产业进程加快，AI链下半年预期差放大,国金证券,2026-07-12,AP202607121826913627,水泥,买入,3
汽车及汽车零部件行业周报：无人矿卡龙头易控智驾上市，工信部第409批新车申报,国金证券,2026-07-12,AP202607121826913621,乘用车,买入,3
交通运输行业周报：暑运首周客座率逆势提升，旺季后移打开航司收益修复窗口,中银证券,2026-07-12,AP202607121826913560,物流,增持,3
ESG行业周报：国家能源局，推动绿证纳入碳排放核算体系,信达证券,2026-07-12,AP202607121826913237,环境治理,,3
医药行业观察周报,摩熵数科(成都)医药科技,2026-07-12,AP202607121826913227,化学制药,,3
机器人电机行业深度分析报告：力量的心脏：人形机器人时代的核心驱动力,武汉问渠汇知信息科技,2026-07-12,AP202607121826913201,专用设备,,3
汽车智能座舱行业分析报告,武汉问渠汇知信息科技,2026-07-12,AP202607121826913200,汽车零部件,,3
全球益生菌膳食补充剂市场深度分析报告2025—2033,武汉问渠汇知信息科技,2026-07-12,AP202607121826913198,食品加工,,3
2026年中国旅游消费研究报告,硕远咨询,2026-07-12,AP202607121826913197,旅游零售Ⅱ,,3
端侧AI周跟踪：Meta算力投入与模型持续演进，WAIC将发布智能体手机,东吴证券,2026-07-12,AP202607121826913169,元件,增持,3
非银金融行业周报：多家券商中期业绩预告实现高增，2026上半年头部险司银保渠道期交保费实现较快增长,华源证券,2026-07-12,AP202607121826912820,证券Ⅱ,增持,3
煤炭行业周报：煤价进一步下行空间有限，高温+供给收紧驱动反弹修复,开源证券,2026-07-12,AP202607121826912789,煤炭开采,持有,3
有色金属周报：铝去库加速，重视稀土涨价、锡加速去库,国金证券,2026-07-12,AP202607121826912762,工业金属,买入,3
交通运输产业行业研究：暑运第二周客流改善，多家公司发布业绩预告,国金证券,2026-07-12,AP202607121826912761,物流,买入,3
农林牧渔行业周报：极端天气扰动生产，重视养殖板块投资机会,国金证券,2026-07-12,AP202607121826912757,养殖业,买入,3
电子行业周报：存储缺口、Capex能见度达2030年后，Meta Capex加速,开源证券,2026-07-12,AP202607121826912758,半导体,持有,3
环保行业周报：磁悬浮离心压缩机——数据中心液冷放量下的核心受益环节,华源证券,2026-07-12,AP202607121826912705,环境治理,增持,3
互联网行业研究：腾讯Hy3正式发布，Meta拟投资100亿美元建数据中心,国金证券,2026-07-12,AP202607121826912320,游戏Ⅱ,买入,3
食品饮料行业周报：零售新政催化渠道革新，板块磨底修复行情可期,开源证券,2026-07-12,AP202607121826912314,非白酒,持有,3
非银金融行业周报：非银行业中报有望高增，看好头部券商重估空间,开源证券,2026-07-12,AP202607121826912313,证券Ⅱ,持有,3
汽车行业周报：数据中心行业高增推升液冷需求，核心部件泵空间广,开源证券,2026-07-12,AP202607121826912312,汽车零部件,持有,3
家电行业研究：7月TV面板价格小幅回落，库存和供需结构相对健康,国金证券,2026-07-12,AP202607121826912236,其他家电Ⅱ,买入,3
黑色金属周报：铁水高位回落，钢材弱势企稳,国金证券,2026-07-12,AP202607121826912235,普钢,买入,3
机械行业研究：重视半导体设备机会，看好船舶、燃气轮机和农机,国金证券,2026-07-12,AP202607121826912237,工程机械,买入,3
计算机行业研究：Token商业化加速,国金证券,2026-07-12,AP202607121826912234,软件开发,买入,3
AI周观察：腾讯Hy3发布正式版，存储价格继续上升,国金证券,2026-07-12,AP202607121826912231,元件,,3
通信行业研究：Meta算力投资升级，智谱及Deepseek探索自研AI芯片,国金证券,2026-07-12,AP202607121826912150,通信设备,买入,3
计算机行业点评：华为昇腾超节点放量可期,华源证券,2026-07-12,AP202607121826912086,IT服务Ⅱ,增持,3
2026年中国旅游营销研究报告,硕远咨询,2026-07-12,AP202607121826912062,旅游及景区,,3
2026年中国旅游区域格局研究报告,硕远咨询,2026-07-12,AP202607121826912059,旅游及景区,,3
2026年银发旅游研究报告,硕远咨询,2026-07-12,AP202607121826912058,旅游及景区,,3
2026年中国连锁酒店研究报告,硕远咨询,2026-07-12,AP202607121826912056,酒店餐饮,,3
2026年中国旅游行业趋势研究报告,硕远咨询,2026-07-12,AP202607121826912055,旅游及景区,,3
2026年中国酒店行业研究报告,硕远咨询,2026-07-12,AP202607121826912054,酒店餐饮,,3
2026年中国旅游目的地研究报告,硕远咨询,2026-07-12,AP202607121826912052,旅游及景区,,3
2026年中国餐饮消费行为研究报告,硕远咨询,2026-07-12,AP202607121826912051,酒店餐饮,,3
石油加工行业大炼化周报：油价反弹推动下游补货，长丝库存有所去化,信达证券,2026-07-12,AP202607121826911697,炼化及贸易,,3
环保行业周报：循环经济“十五五”规划发布，有望加快资源循环利用产业升级,信达证券,2026-07-12,AP202607121826911696,环境治理,持有,3
证券Ⅱ行业深度报告：三投联动打通产业链，科创投资方兴未艾,东吴证券,2026-07-12,AP202607121826911624,证券Ⅱ,增持,3
电子行业周报：电子布涨价持续，上游设备供需紧张,上海证券,2026-07-12,AP202607121826911589,元件,增持,3
有色金属：枧下窝锂矿有望逐步复产，碳酸锂供需有望逐步向好,太平洋,2026-07-12,AP202607121826911585,工业金属,持有,3
非银金融行业跟踪周报：继续看好业绩驱动下的券商股,东吴证券,2026-07-12,AP202607121826911576,证券Ⅱ,增持,3
电力设备新能源2026年7月投资策略：《新型能源体系建设“十五五”规划》印发，2030年初步建成新型能源体系,国信证券,2026-07-12,AP202607121826911480,电池,增持,3
电子行业点评报告：国产算力周跟踪：CPU提价验证需求韧性，曙光十万卡集群加速国产算力升级,东吴证券,2026-07-12,AP202607121826911479,元件,增持,3
农产品研究跟踪系列报告（212）：生猪政策调控稳步推进，看好肉牛与原奶周期共振反转,国信证券,2026-07-12,AP202607121826911477,养殖业,增持,3
农林牧渔行业周报：供给节奏收缩驱动猪价上行，二育回补与能繁去化同步演绎,开源证券,2026-07-12,AP202607121826911385,养殖业,持有,3
有色金属行业研究：钛：商业航天再突破，对日管制或影响供给,国金证券,2026-07-12,AP202607121826911345,工业金属,买入,3
耐用消费产业行业研究：致欧科技6月全面加速，小米汽车发布skynomad子品牌打开成长空间,国金证券,2026-07-12,AP202607121826910899,一般零售,买入,3
石油化工行业研究：地缘反复，原油低位反弹,国金证券,2026-07-12,AP202607121826910898,炼化及贸易,买入,3
食品饮料行业研究：业绩窗口期，持续推荐可见度较高的α标的,国金证券,2026-07-12,AP202607121826910894,非白酒,买入,3
计算机行业研究：我国可回收火箭迎“0到1”拐点,国金证券,2026-07-12,AP202607121826910893,IT服务Ⅱ,买入,3
医药健康行业研究：新版基药目录推出，利好慢病创新药基层市场渗透,国金证券,2026-07-12,AP202607121826910892,中药Ⅱ,买入,3
